sintomas_texto,especialidad_sugerida,categoria_urgencia,palabras_clave
"dolor opresivo en el pecho fatiga palpitaciones falta de aire al caminar presion alta",Cardiología,Alta,"pecho, corazon, presion, palpitaciones, arritmia, infarto"
"dolor precordial taquicardia mareos al hacer esfuerzo antecedentes coronarios",Cardiología,Alta,"taquicardia, precordial, esfuerzo, coronario, mareo"
"hipertension arterial presion arterial elevada control de presion y electrocardiograma",Cardiología,Media,"hipertension, presion alta, ekg, holter"
"erupcion cutanea picazon en la piel manchas rojas descamacion acne severo ronchas",Dermatología,Baja,"piel, erupcion, manchas, acne, picazon, alergia, ronchas"
"caida excesiva de cabello alopecia irritacion en el cuero cabelludo lunares sospechosos",Dermatología,Baja,"cabello, alopecia, lunares, cuero cabelludo, dermatitis"
"hongos en las uñas manchas oscuras en la piel psoriasis dermatitis atopica",Dermatología,Baja,"hongos, uñas, manchas, psoriasis, dermatitis, eczema"
"fiebre alta en niño tos persistente vomitos congestion nasal inapetencia infantil",Pediatría,Alta,"niño, fiebre, pediatrico, bebe, tos, vacunas, diarrea infantil"
"control de crecimiento y desarrollo del bebe lactancia llanto constante vacunas",Pediatría,Baja,"bebe, lactante, crecimiento, vacunas, pediatra, peso"
"dolor de garganta en niños bronquios silbido de pecho resfriado recurrente en infante",Pediatría,Media,"bronquios, silbido, garganta, niño, resfriado"
"dolor pelvico colicos menstruales intensos retraso menstrual control ginecologico papanicolaou",Ginecología,Media,"ginecologia, menstruacion, ovario, papanicolaou, utero, embarazo"
"control prenatal chequeo de embarazo ecografia obstetrica flujo vaginal anormal",Ginecología,Media,"embarazo, prenatal, ecografia, obstetrico, flujo"
"menopausia sofocos cambios hormonales quistes en ovarios sangrado irregular",Ginecología,Baja,"menopausia, hormonal, quistes, sangrado, anticonceptivos"
"dolor lumbar intenso lumbago fractura esguince de tobillo dolor de rodilla al caminar",Traumatología,Media,"lumbar, fractura, esguince, rodilla, huesos, columna, lesion"
"dolor en hombro tendinitis inflamacion en articulaciones dificultad para mover el brazo",Traumatología,Media,"hombro, tendinitis, articulacion, luxacion, ligamentos"
"dolor en espalda baja ciatica desviacion de columna golpe fuerte o contusion",Traumatología,Media,"ciatica, columna, espalda, golpe, traumatismo"
"vision borrosa dolor en los ojos enrojecimiento ocular perdida de agudeza visual miopia",Oftalmología,Media,"ojos, vision, borrosa, miopia, lentes, cataratas, retina"
"ardor en los ojos sensacion de arenilla ojo seco dificultad para leer o ver de noche",Oftalmología,Baja,"ojo seco, ardor ocular, vista, conjuntivitis, optometria"
"dolor de muela inflamacion en encia caries sangrado al cepillarse muela de juicio",Odontología,Media,"muela, caries, encia, diente, odontologia, brackets, limpieza"
"sensibilidad dental al frio y calor dolor al masticar extraccion dental profilaxis",Odontología,Baja,"dientes, sensibilidad, masticar, extraccion, empaste"
"dolor de cabeza constante migraña intensa mareos perdida de equilibrio hormigueo",Medicina General,Media,"cefalea, migraña, mareo, vertigo, nerviosismo"
"malestar general fiebre leve dolor de cuerpo sintomas de gripe resfriado comun",Medicina General,Baja,"gripe, malestar, resfriado, fiebre leve, cuerpo cortado"
"dolor de estomago acidez reflujo diarrea indigestion gases dolor abdominal difuso",Medicina General,Media,"estomago, acidez, reflujo, diarrea, digestion, gastritis"
"chequeo preventivo anual analisis de sangre colesterol trigliceridos certificado de salud",Medicina General,Baja,"preventivo, chequeo, analisis, certificado, examen general"
"ansiedad insomnio estres cronico ataques de panico tristeza persistente depresion",Medicina General,Media,"ansiedad, insomnio, estres, panico, depresion, animo"
